Date,Address,Postcode,Type,New-build,Tenure,Bedrooms,"Price paid",Lat,Lng,URL
"2023-03-22 00:00:00","7, Chaucer Drive","SE1 5TA","Terraced house","Old stock",Freehold,1,365000,51.4898448,-0.0743424,https://propertydata.co.uk/transaction/FAC30767-E532-5E20-E053-4704A8C004EE
"2023-03-06 00:00:00","Flat 17, St. Johns House, Lytham Street","SE17 2PW",Flat,"Old stock",Leasehold,2,330000,51.4851084,-0.0911027,https://propertydata.co.uk/transaction/FAC30767-8AE6-5E20-E053-4704A8C004EE
"2023-03-03 00:00:00","Flat 23, Knight House, Huntsman Street","SE17 1QN",Flat,"Old stock",Leasehold,2,365000,51.4903972,-0.0851054,https://propertydata.co.uk/transaction/F87E72F9-7DB3-176C-E053-6B04A8C0D2BE
"2023-02-24 00:00:00","26, Pilton Place","SE17 1DN",Flat,"Old stock",Leasehold,2,335000,51.4887184,-0.0941065,https://propertydata.co.uk/transaction/F87E72F9-7E28-176C-E053-6B04A8C0D2BE
"2023-02-24 00:00:00","Flat 10, Bethersden House, Kinglake Estate","SE17 2LH",Flat,"Old stock",Leasehold,3,355000,51.4879974,-0.0813312,https://propertydata.co.uk/transaction/FAC30767-8B1C-5E20-E053-4704A8C004EE
"2023-02-23 00:00:00","36, Bushwood Drive","SE1 5RE",Flat,"Old stock",Leasehold,2,385000,51.4901026,-0.0726143,https://propertydata.co.uk/transaction/F87E72F9-803A-176C-E053-6B04A8C0D2BE
"2023-01-27 00:00:00","166a, Trafalgar Street","SE17 2TP",Flat,"Old stock",Leasehold,2,425000,51.4879113,-0.0892715,https://propertydata.co.uk/transaction/F5E8B081-E08B-3A13-E053-6C04A8C060B7
"2022-12-19 00:00:00","10, Surrey Square","SE17 2JU","Terraced house","Old stock",Freehold,5,730000,51.4896727,-0.080944,https://propertydata.co.uk/transaction/F5E8B081-E35C-3A13-E053-6C04A8C060B7
"2022-12-19 00:00:00","8a, Ethel Street","SE17 1NH",Flat,"Old stock",Leasehold,1,605000,51.4910171,-0.0961137,https://propertydata.co.uk/transaction/F87E72F9-7D45-176C-E053-6B04A8C0D2BE
"2022-12-15 00:00:00","70, Henshaw Street","SE17 1PD","Terraced house","Old stock",Freehold,3,974500,51.4928403,-0.0897889,https://propertydata.co.uk/transaction/F3B6C198-D720-6E40-E053-6C04A8C0B3B4
"2022-12-01 00:00:00","85, Lynton Road","SE1 5QT",Flat,"Old stock",Freehold,3,895000,51.4902987,-0.0714105,https://propertydata.co.uk/transaction/F3B6C198-AB56-6E40-E053-6C04A8C0B3B4
"2022-11-25 00:00:00","21, Sutherland Square","SE17 3EQ","Terraced house","Old stock",Freehold,4,1275000,51.4854991,-0.0963292,https://propertydata.co.uk/transaction/F16F63C6-0A7D-0491-E053-6C04A8C032ED
"2022-11-24 00:00:00","1, Sutherland Walk","SE17 3EF","Terraced house","Old stock",Freehold,3,1130000,51.4864707,-0.095799,https://propertydata.co.uk/transaction/F3B6C197-A34C-6E40-E053-6C04A8C0B3B4
